time a b c w1
0.0 0.0 0.0 0.0 0.0
2.34374997708231e-06 2.34398437508335e-23 1.0801570415496826 2.34398437508335e-23 2.34398437508335e-23
2.3531289769906394e-06 2.35336424679079e-23 1.0037916898727417 2.35336424679079e-23 2.35336424679079e-23
2.3718869768072985e-06 2.372124147977851e-23 0.9922298789024353 2.372124147977851e-23 2.372124147977851e-23
2.449126245505041e-06 2.449371143311084e-23 0.9876051545143127 2.449371143311084e-23 2.449371143311084e-23
0.00019360463173130613 1.9362399824984054e-21 0.9876051545143127 1.9362399824984054e-21 1.9362399824984054e-21
0.00038480681743822704 3.8484529531415596e-21 0.9876051545143127 3.8484529531415596e-21 -5.559464444360174e-09
0.0007672111888520689 7.672878894427868e-21 0.9876051545143127 7.672878894427868e-21 -2.705487389675909e-08
0.001 1.0000999731091105e-20 0.9876051545143127 1.0000999731091105e-20 -3.338633192129237e-08
29.999999999999996 3.000300019364487e-16 0.9876051545143127 3.000300019364487e-16 -3.3386157838322106e-08
30.000099999999996 3.0003100778807355e-16 0.9876051545143127 3.0003100778807355e-16 -3.3364898399668164e-08
30.0003 3.0003299302154367e-16 0.9876051545143127 3.0003299302154367e-16 -3.3343891203685416e-08
30.0007 3.0003698995826353e-16 0.9876051545143127 3.0003698995826353e-16 -3.333277120987077e-08
30.000822963436814 1.0361115521106967e-08 0.9876051545143127 3.000382340379048e-16 -3.0680496365675936e-08
30.000893956510907 5.6006193460689246e-08 0.9876051545143127 3.0003894872195405e-16 2.704824275667761e-08
30.000929691644806 1.2445354968804168e-07 0.9876051545143127 3.000392928290889e-16 5.757500431968765e-08
30.000951772743594 2.011633739584795e-07 0.9876051545143127 3.000395310571053e-16 3.7717011736049244e-08
30.000964849206 2.8302659416112874e-07 0.9876051545143127 3.000396369362237e-16 1.8391118317140354e-07
30.000975194109113 3.9258588913071435e-07 0.9876051545143127 3.000397428153421e-16 6.118857527326327e-07
30.000986696929893 5.621853347292927e-07 0.9876051545143127 3.000398751642401e-16 1.43140539421438e-06
30.00099995381171 7.945383799778938e-07 0.9876051545143127 3.000400075131381e-16 2.6320958568248898e-06
30.001 7.954489547046251e-07 0.9876051545143127 3.000400075131381e-16 2.637009856698569e-06
30.09786382540207 0.002038413193076849 0.9876051545143127 3.0100874850700102e-16 0.011360196396708488
30.194727650804133 0.004049195442348719 0.9876051545143127 3.0197746303108433e-16 0.022633271291851997
30.38845539398485 0.008006799034774303 0.9876051545143127 3.0391494501881013e-16 0.04497712478041649
30.62283039398485 0.012691291980445385 0.9876051545143127 3.062589234118792e-16 0.07168004661798477
